"Freq [GHz]","dB(St(1,1)) []"
1,-14.5709811828528
1.006,-14.6746777042386
1.012,-14.7790889334635
1.018,-14.8842169330099
1.024,-14.9900637373502
1.03,-15.0966313385873
1.036,-15.2039216710728
1.042,-15.311936594921
1.048,-15.4206778783346
1.054,-15.5301471786505
1.06,-15.6403460220088
1.066,-15.7512757815394
1.072,-15.8629376539566
1.078,-15.9753326344424
1.084,-16.0884614896921
1.09,-16.2023247289869
1.096,-16.3169225731506
1.102,-16.4322549212383
1.108,-16.5483213147929
1.114,-16.6651208994994
1.12,-16.7826523840532
1.126,-16.9009139960505
1.132,-17.0199034346948
1.138,-17.139617820107
1.144,-17.2600536390104
1.15,-17.3812066865542
1.156,-17.5030720040266
1.162,-17.6256438121976
1.168,-17.7489154400205
1.174,-17.8728792484146
1.18,-17.9975265488377
1.186,-18.1228475163546
1.192,-18.248831096899
1.198,-18.3754649084231
1.204,-18.5027351356307
1.21,-18.6306264179883
1.216,-18.7591217307193
1.222,-18.8882022584937
1.228,-19.0178472615491
1.234,-19.1480339339947
1.24,-19.2787372540917
1.246,-19.4099298263379
1.252,-19.5415817152409
1.258,-19.6736602707306
1.264,-19.8061299452389
1.27,-19.9389521025733
1.276,-20.0720848188265
1.282,-20.2054826756986
1.288,-20.3390965467697
1.294,-20.4728733774438
1.3,-20.6067559595001
1.306,-20.7406827014267
1.312,-20.8745873959924
1.318,-21.0083989868153
1.324,-21.1420413360352
1.33,-21.2754329955729
1.336,-21.4084869848759
1.342,-21.5411105784935
1.348,-21.6732051073036
1.354,-21.8046657777123
1.36,-21.9353815136628
1.366,-22.0652348268171
1.372,-22.1941017207855
1.378,-22.3218516357753
1.384,-22.4483474404751
1.39,-22.5734454783747
1.396,-22.6969956760033
1.402,-22.818841720728
1.408,-22.9388213157494
1.414,-23.0567665197343
1.42,-23.1725041780859
1.426,-23.2858564521526
1.432,-23.3966414516623
1.438,-23.5046739743388
1.444,-23.609766354962
1.45,-23.7117294241033
1.456,-23.8103735743733
1.462,-23.9055099293246
1.468,-23.9969516071796
1.474,-24.084515068386
1.48,-24.1680215327408
1.486,-24.2472984485661
1.492,-24.3221809933278
1.498,-24.3925135822827
1.504,-24.4581513594048
1.51,-24.5189616431057
1.516,-24.5748252982858
1.522,-24.6256380061391
1.528,-24.6713114039669
1.534,-24.7117740690794
1.54,-24.7469723236576
1.546,-24.7768708411554
1.552,-24.8014530393113
1.558,-24.8207212499612
1.564,-24.8346966613733
1.57,-24.8434190345436
1.576,-24.8469462005459
1.582,-24.845353351381
1.588,-24.8387321415994
1.594,-24.8271896220851
1.6,-24.810847030652
1.606,-24.7898384664116
1.612,-24.7643094761983
1.618,-24.7344155816879
1.624,-24.7003207752846
1.63,-24.6621960114754
1.636,-24.6202177182994
1.642,-24.574566350985
1.648,-24.5254250068431
1.654,-24.4729781173071
1.66,-24.4174102297393
1.666,-24.3589048883921
1.672,-24.2976436208343
1.678,-24.2338050333118
1.684,-24.1675640159624
1.69,-24.099091056592
1.696,-24.0285516598574
1.702,-23.9561058671883
1.708,-23.8819078716154
1.714,-23.8061057208175
1.72,-23.7288411011348
1.726,-23.6502491949854
1.732,-23.570458604024
1.738,-23.4895913304617
1.744,-23.4077628091968
1.75,-23.325081983737
1.756,-23.2416514193157
1.762,-23.1575674470764
1.768,-23.0729203337062
1.774,-22.9877944714203
1.78,-22.9022685837224
1.786,-22.816415942874
1.792,-22.7303045954943
1.798,-22.6439975931761
1.804,-22.5575532254323
1.81,-22.4710252526836
1.816,-22.3844631373609
1.822,-22.2979122715201
1.828,-22.2114141996617
1.834,-22.1250068357014
1.84,-22.038724673272
1.846,-21.9525989887276
1.852,-21.866658036401
1.858,-21.7809272358054
1.864,-21.6954293506014
1.87,-21.6101846592541
1.876,-21.5252111173937
1.882,-21.4405245119645
1.888,-21.3561386073083
1.894,-21.2720652833729
1.9,-21.1883146662755
1.906,-21.1048952514773
1.912,-21.0218140198468
1.918,-20.9390765469039
1.924,-20.8566871055458
1.93,-20.7746487625582
1.936,-20.6929634692194
1.942,-20.6116321462995
1.948,-20.5306547637535
1.954,-20.4500304154005
1.96,-20.3697573888722
1.966,-20.2898332311058
1.972,-20.2102548096438
1.978,-20.1310183699955
1.984,-20.0521195893019
1.99,-19.9735536265335
1.996,-19.8953151694414
2.002,-19.8173984784701
2.008,-19.7397974278264
2.014,-19.6625055438929
2.02,-19.5855160411589
2.026,-19.5088218558359
2.032,-19.4324156773098
2.038,-19.3562899775776
